Rank,Book Title,Author,Rating,Reviews,Price,url,description,publisher,publication_date
#1,My Guide Dog is a Wolf Shifter,Roxie Ray,4.5,120.0,4.95,https://www.amazon.com/My-Guide-Dog-Wolf-Shifter-ebook/dp/B0GR98NZ57/ref=zg_bs_g_6190484011_d_sccl_1/142-5481648-3710261,N/A,N/A,N/A
#2,Dark Alchemy: House of Cards,I. T. Lucas,4.9,106.0,4.99,https://www.amazon.com/Dark-Alchemy-Children-Paranormal-Romance-ebook/dp/B0GJ4G9ZG8/ref=zg_bs_g_6190484011_d_sccl_2/142-5481648-3710261,N/A,N/A,N/A
#3,The Wolf King: A Fantasy Romance,Lauren Palphreyman,4.4,63517.0,4.99,https://www.amazon.com/Wolf-King-Fantasy-Romance-ebook/dp/B0CFQTT2BV/ref=zg_bs_g_6190484011_d_sccl_3/142-5481648-3710261,N/A,N/A,N/A
#4,Cursed with Benefits,Roxie Ray,4.5,388.0,4.95,https://www.amazon.com/Cursed-Benefits-Roxie-Ray-ebook/dp/B0GQ3BNQY9/ref=zg_bs_g_6190484011_d_sccl_4/142-5481648-3710261,N/A,N/A,N/A
#5,Crone of Thorns,Amanda M. Lee,4.7,442.0,5.99,https://www.amazon.com/Crone-Thorns-Amanda-M-Lee-ebook/dp/B0FMPJVJZM/ref=zg_bs_g_6190484011_d_sccl_5/142-5481648-3710261,N/A,N/A,N/A
#6,Zodiac Academy 3: The Reckoning,Caroline Peckham,4.6,104919.0,6.99,https://www.amazon.com/Zodiac-Academy-Reckoning-Romance-Supernatural-ebook/dp/B07XBGJKHQ/ref=zg_bs_g_6190484011_d_sccl_6/142-5481648-3710261,N/A,N/A,N/A
#7,Zodiac Academy 2: Ruthless Fae,Caroline Peckham,4.5,112404.0,6.99,https://www.amazon.com/Zodiac-Academy-Ruthless-Romance-Supernatural-ebook/dp/B07VJ383S6/ref=zg_bs_g_6190484011_d_sccl_7/142-5481648-3710261,N/A,N/A,N/A
#8,Zodiac Academy 5: Cursed Fates,Caroline Peckham,4.5,80988.0,7.99,https://www.amazon.com/Zodiac-Academy-Cursed-Fates-Romance-ebook/dp/B08914K4F9/ref=zg_bs_g_6190484011_d_sccl_8/142-5481648-3710261,N/A,N/A,N/A
#9,How Not to Kill a Hellhound,Shannon Mae,4.7,913.0,4.99,https://www.amazon.com/Kill-Hellhound-Hellhounds-Paradise-Falls-ebook/dp/B0FTTJQWG6/ref=zg_bs_g_6190484011_d_sccl_9/142-5481648-3710261,N/A,N/A,N/A
#10,Zodiac Academy 6: Fated Throne,Caroline Peckham,4.5,79249.0,7.99,https://www.amazon.com/Zodiac-Academy-6-Caroline-Peckham-ebook/dp/B088QJ787J/ref=zg_bs_g_6190484011_d_sccl_10/142-5481648-3710261,N/A,N/A,N/A
#11,Zodiac Academy 4: Shadow Princess,Caroline Peckham,4.5,82389.0,7.99,https://www.amazon.com/Zodiac-Academy-Princess-Romance-Supernatural-ebook/dp/B07YLBYWPD/ref=zg_bs_g_6190484011_d_sccl_11/142-5481648-3710261,"The shadows are in my blood. I can feel them crawling through me, slithering under my skin and taking me hostage. But the darkness within me isn't nearly as bad as the darkness that lives around me. The four Celestial Heirs will stop at nothing to destroy the lives of me and my sister. But they haven't figured out yet, that we're the strongest creatures they've ever known. And when that secret comes out, we need to be ready to face them as well as any other cruel Fae who rises against us. It’s us or them. And it damn well won’t be us. Read more",N/A,N/A
#12,Moon Cursed Complete Series,Alexis Calder,4.3,58.0,0.99,https://www.amazon.com/Moon-Cursed-Complete-Alexis-Calder-ebook/dp/B0CTYTZKNP/ref=zg_bs_g_6190484011_d_sccl_12/142-5481648-3710261,N/A,N/A,N/A
#13,Obsidian (Shadowbound Fae Book 1),K.F. Breene,4.4,11321.0,4.99,https://www.amazon.com/Obsidian-Shadowbound-Fae-Book-1-ebook/dp/B0F3LP475Y/ref=zg_bs_g_6190484011_d_sccl_13/142-5481648-3710261,N/A,N/A,N/A
#14,Forged in Blood,Sadie Kincaid,4.3,34441.0,5.99,https://www.amazon.com/Forged-Blood-Broken-Bloodlines-Book-ebook/dp/B0CQ8TCHC9/ref=zg_bs_g_6190484011_d_sccl_14/142-5481648-3710261,"A dark paranormal/ fantasy romance from bestselling author, Sadie Kincaid. Every few millennia, a child is born. Some say they’re marked with a curse. Others claim they possess the power of the ages. Meet Ophelia Hart. Lover of classic literature and unicorns. An orphan with nobody in her corner—no family, no friends. But it’s her loneliness that fuels her life’s ambition to become a social worker and help the forgotten children just like her. For a foster kid with only slightly above-average grades, it feels like a pipe dream. Except it seems that someone is looking out for Ophelia after all. When an unexpected opportunity to attend Montridge University arises, she thinks her life is finally taking a turn for the better. Too bad she comes to the attention of the three ruthless, arrogant commanders of the Ruby Dragon Society. Three of the most feared and powerful vampires on campus. But Ophelia doesn’t believe in vampires. Or in witches, or magic, or ancient prophecies. Until she has no choice. Little does she know, she’s about to have her whole world turned upside down. Because there is something about Ophelia Hart. Something that captures not only the attention of the Ruby Dragon commanders, but also their powerful, enigmatic sire—Professor Alexandros Drakos. With no idea of the power running through her veins, Ophelia must learn to trust the very men whom all others fear. And she needs to do it fast, for there are darker forces at work than those at Montridge University. Forces that were long ago Forged in Blood. Forged in Blood is book one in a trilogy. Books 1 and 2 end on cliffhangers and book 3 is a HEA. Read more",N/A,N/A
#15,The Nanny and Her Alphas,Layla Sparks,4.1,191.0,4.99,https://www.amazon.com/Nanny-Her-Alphas-Omegaverse-Standalone-ebook/dp/B0FVTSJ2NY/ref=zg_bs_g_6190484011_d_sccl_15/142-5481648-3710261,N/A,N/A,N/A
#16,Zodiac Academy 7: Heartless Sky,Caroline Peckham,4.4,64358.0,8.99,https://www.amazon.com/Zodiac-Academy-7-Caroline-Peckham-ebook/dp/B08R14G8QV/ref=zg_bs_g_6190484011_d_sccl_16/142-5481648-3710261,N/A,N/A,N/A
#17,Kiss of the Basilisk,Lindsay Straube,4.1,27738.0,8.25,https://www.amazon.com/Kiss-Basilisk-Split-Swallow-Novel-ebook/dp/B0DMX89R8T/ref=zg_bs_g_6190484011_d_sccl_17/142-5481648-3710261,N/A,N/A,N/A
#18,Immortal by Morning,Lynsay Sands,4.5,1899.0,1.99,https://www.amazon.com/Immortal-Morning-Halloween-Paranormal-Vampires-ebook/dp/B0DL9V9M5S/ref=zg_bs_g_6190484011_d_sccl_18/142-5481648-3710261,N/A,N/A,N/A
#19,The Lies that Summon the Night,Tessonja Odette,4.6,279.0,1.99,https://www.amazon.com/Lies-that-Summon-Night-Novel-ebook/dp/B0FJX47F4X/ref=zg_bs_g_6190484011_d_sccl_19/142-5481648-3710261,N/A,N/A,N/A
#20,Eyes of Devious Burgundy,Lacey Lehotzky,4.3,3293.0,8.99,https://www.amazon.com/Eyes-Devious-Burgundy-Deathcaller-Prophecy-ebook/dp/B0DJSCN35B/ref=zg_bs_g_6190484011_d_sccl_20/142-5481648-3710261,N/A,N/A,N/A
#21,Undeniably His Mate,Roxie Ray,4.4,891.0,9.95,https://www.amazon.com/Undeniably-His-Mate-Roxie-Ray-ebook/dp/B0GFVSDGNJ/ref=zg_bs_g_6190484011_d_sccl_21/142-5481648-3710261,N/A,N/A,N/A
#22,Stalked by Seduction and Shadows,Maggie Sunseri,4.2,9053.0,4.99,https://www.amazon.com/Stalked-Seduction-Shadows-Eternal-Obsession-ebook/dp/B0CQRD3V1Y/ref=zg_bs_g_6190484011_d_sccl_22/142-5481648-3710261,N/A,N/A,N/A
#23,The Tyrant Alpha's Fated Chase,Jennifer Eve,4.3,557.0,2.99,https://www.amazon.com/Tyrant-Alphas-Fated-Chase-Forbidden-ebook/dp/B0G4D3BWPC/ref=zg_bs_g_6190484011_d_sccl_23/142-5481648-3710261,N/A,N/A,N/A
#24,The Silversmith,LJ Claren,4.3,9991.0,4.99,https://www.amazon.com/Silversmith-totally-addictive-fantasy-Selvaren-ebook/dp/B0FV6P4B9M/ref=zg_bs_g_6190484011_d_sccl_24/142-5481648-3710261,N/A,N/A,N/A
#25,Destined Mate,Jen L. Grey,4.5,10884.0,4.99,https://www.amazon.com/Destined-Mate-Twisted-Fate-Trilogy-ebook/dp/B0CBQWL5XY/ref=zg_bs_g_6190484011_d_sccl_25/142-5481648-3710261,"Fate stripped everything from me and forced me to face my worst nightmare. As the adopted and weakest member of my pack, I’ve always been an outcast and mistreated, especially since I've never been able to shift into my animal form. Every time I try to find a way to escape my personal hell, my pack leader stops me, vowing that I'll never be free from him. Then the worst happens. A group of my pack members attack me. Alone, outnumbered, and stuck in my human form, I'll fight for my life even though there’s no hope for survival. Until a group of unfamiliar wolves come to my aid. The sexiest and strongest of them, Bodey, is adamant to protect me. And something inside me tugs toward him almost unnaturally. But it turns out things aren't what they seem. There might be something more to my past than I knew . . . and Bodey might be the very person I need protecting from. Get this steamy and suspenseful forced proximity, touch her and unalive, broody male, fated mates, royal wolf shifter romance today! Read more",N/A,N/A
#26,Riftborn,Shannon Mayer,4.8,317.0,4.99,https://www.amazon.com/Riftborn-Apocalyptic-Fantasy-Sorrows-Blades-ebook/dp/B0GQJJ2533/ref=zg_bs_g_6190484011_d_sccl_26/142-5481648-3710261,N/A,N/A,N/A
#27,The Alpha King's Queen,Eloise Benjamin,4.5,3662.0,2.99,https://www.amazon.com/Alpha-Kings-Queen-Eloise-Benjamin-ebook/dp/B0DKXV4W7G/ref=zg_bs_g_6190484011_d_sccl_27/142-5481648-3710261,N/A,N/A,N/A
#28,Swipe Right on Fate,Roxie Ray,4.2,2720.0,4.95,https://www.amazon.com/Swipe-Right-Fate-Roxie-Ray-ebook/dp/B0GJ79LTJ6/ref=zg_bs_g_6190484011_d_sccl_28/142-5481648-3710261,N/A,N/A,N/A
#29,Zodiac Academy 9: Restless Stars,Caroline Peckham,4.5,37785.0,8.99,https://www.amazon.com/Zodiac-Academy-9-Caroline-Peckham-ebook/dp/B0CHS9CQT8/ref=zg_bs_g_6190484011_d_sccl_29/142-5481648-3710261,N/A,N/A,N/A
#30,Beast Business,Ilona Andrews,4.8,2847.0,5.99,https://www.amazon.com/Beast-Business-Ilona-Andrews-ebook/dp/B0GKJ2ZQFD/ref=zg_bs_g_6190484011_d_sccl_30/142-5481648-3710261,N/A,N/A,N/A
#31,Chased by My Grumpy Alpha,Jaymin Snow,4.5,1094.0,4.99,https://www.amazon.com/Chased-Grumpy-Alpha-Forbidden-Paranormal-ebook/dp/B0FYJHK4VC/ref=zg_bs_g_6190484011_d_sccl_31/142-3510744-9003908?psc=1,N/A,N/A,N/A
#32,Fated to the Wolf Prince,April L. Moon,4.4,25147.0,5.99,https://www.amazon.com/Fated-Wolf-Prince-Shifter-Paranormal-ebook/dp/B0CB95LXNN/ref=zg_bs_g_6190484011_d_sccl_32/142-3510744-9003908?psc=1,N/A,N/A,N/A
#33,Crowned By The King-Sized Alpha,Olivia T. Turner,4.5,298.0,3.99,https://www.amazon.com/Crowned-King-Sized-Alpha-Olivia-Turner-ebook/dp/B0G3YLHSHZ/ref=zg_bs_g_6190484011_d_sccl_33/142-3510744-9003908?psc=1,N/A,N/A,N/A
#34,The Primal of Blood and Bone,Jennifer L. Armentrout,4.0,11407.0,8.99,https://www.amazon.com/Primal-Blood-Bone-Ash-Novel-ebook/dp/B0DLHZ6GXJ/ref=zg_bs_g_6190484011_d_sccl_34/142-3510744-9003908?psc=1,N/A,N/A,N/A
#35,Shift of the Wild,S.E. Babin,4.8,329.0,4.99,https://www.amazon.com/Shift-Wild-Shifter-Lords-Book-ebook/dp/B0FPJYMSJL/ref=zg_bs_g_6190484011_d_sccl_35/142-3510744-9003908?psc=1,N/A,N/A,N/A
#36,From Blood and Ash,Jennifer L. Armentrout,4.6,80385.0,8.99,https://www.amazon.com/Blood-Ash-Jennifer-L-Armentrout-ebook/dp/B086JMSSVH/ref=zg_bs_g_6190484011_d_sccl_36/142-3510744-9003908?psc=1,N/A,N/A,N/A
#37,A Shadow in the Ember,Jennifer L. Armentrout,4.7,37828.0,8.99,https://www.amazon.com/Shadow-Ember-Flesh-Fire-Book-ebook/dp/B08Z2ZJSR3/ref=zg_bs_g_6190484011_d_sccl_37/142-3510744-9003908?psc=1,N/A,N/A,N/A
#38,Reborn (Shadow Beast Shifters 3),Jaymin Eve,4.6,20287.0,5.99,https://www.amazon.com/Reborn-Shadow-Beast-Shifters-Book-ebook/dp/B08RWMTPCR/ref=zg_bs_g_6190484011_d_sccl_38/142-3510744-9003908?psc=1,N/A,N/A,N/A
#39,Promised in Blood,Sadie Kincaid,4.4,19417.0,5.99,https://www.amazon.com/Bound-Blood-Broken-Bloodlines-Book-ebook/dp/B0CQ8SR1DW/ref=zg_bs_g_6190484011_d_sccl_39/142-3510744-9003908?psc=1,N/A,N/A,N/A
#40,Don't Feed the Vampire,Grae Bryan,4.5,864.0,5.99,https://www.amazon.com/Dont-Feed-Vampire-Coastal-Creatures-ebook/dp/B0DQ45KFKR/ref=zg_bs_g_6190484011_d_sccl_40/142-3510744-9003908?psc=1,N/A,N/A,N/A
#41,The Wolf Queen,Lauren Palphreyman,,,5.99,https://www.amazon.com/Wolf-Queen-Fantasy-Romance-ebook/dp/B0GGBVWGB1/ref=zg_bs_g_6190484011_d_sccl_41/142-3510744-9003908?psc=1,N/A,N/A,N/A
#42,Knot in Doubt,Ember L. Nicole,4.2,879.0,4.99,https://www.amazon.com/Promises-Omegaverse-Ember-L-Nicole-ebook/dp/B0FG87MSM2/ref=zg_bs_g_6190484011_d_sccl_42/142-3510744-9003908?psc=1,N/A,N/A,N/A
#43,The Venom in our Vows,Talia Shepstone,4.3,1240.0,5.99,https://www.amazon.com/Venom-our-Vows-Reverse-Fantasy-ebook/dp/B0FV7W4WLD/ref=zg_bs_g_6190484011_d_sccl_43/142-3510744-9003908?psc=1,N/A,N/A,N/A
#44,Primal: A Rejected Mate Romance,Kayleigh King,4.3,2925.0,4.99,https://www.amazon.com/Primal-Rejected-Omegaverse-Romance-Drive-ebook/dp/B0DSZ57DKN/ref=zg_bs_g_6190484011_d_sccl_44/142-3510744-9003908?psc=1,N/A,N/A,N/A
#45,Witch Fire,Lyra Mishon,4.4,1856.0,4.99,https://www.amazon.com/Witch-Fire-paranormal-academy-Starfall-ebook/dp/B0FX4G5Z99/ref=zg_bs_g_6190484011_d_sccl_45/142-3510744-9003908?psc=1,N/A,N/A,N/A
#46,Clash of Claws,Elizabeth Dear,4.7,4669.0,5.99,https://www.amazon.com/Clash-Claws-Shifter-Guardians-Academy-ebook/dp/B0FNRMCTRC/ref=zg_bs_g_6190484011_d_sccl_46/142-3510744-9003908?psc=1,N/A,N/A,N/A
#47,Crescent Kingdom,Tessa Hale,4.4,13044.0,4.99,https://www.amazon.com/Crescent-Kingdom-Wolves-Creek-Book-ebook/dp/B0D852YJZ5/ref=zg_bs_g_6190484011_d_sccl_47/142-3510744-9003908?psc=1,N/A,N/A,N/A
#48,Night Owl Bridge,Seana Kelly,4.7,239.0,0.99,https://www.amazon.com/Night-Bridge-Story-World-Wicche-ebook/dp/B0GQJ3JLX9/ref=zg_bs_g_6190484011_d_sccl_48/142-3510744-9003908?psc=1,N/A,N/A,N/A
#49,A Kingdom of Flesh and Fire,Jennifer L. Armentrout,4.6,69616.0,8.99,https://www.amazon.com/Kingdom-Flesh-Fire-Blood-Book-ebook/dp/B08BZ61HDF/ref=zg_bs_g_6190484011_d_sccl_49/142-3510744-9003908?psc=1,N/A,N/A,N/A
#50,Bound in Blood,Sadie Kincaid,4.4,17024.0,5.99,https://www.amazon.com/Bound-Blood-Broken-Bloodlines-Book-ebook/dp/B0DDY763WZ/ref=zg_bs_g_6190484011_d_sccl_50/142-3510744-9003908?psc=1,N/A,N/A,N/A
#51,Eldrith Manor,Leigh Rivers,4.2,2044.0,4.99,https://www.amazon.com/Eldrith-Manor-Leigh-Rivers-ebook/dp/B0FDF3H3CD/ref=zg_bs_g_6190484011_d_sccl_1/145-2966230-4286357,N/A,N/A,N/A
#52,The Crown of Gilded Bones,Jennifer L. Armentrout,4.6,70232.0,8.99,https://www.amazon.com/Crown-Gilded-Bones-Blood-Book-ebook/dp/B08NS24X2T/ref=zg_bs_g_6190484011_d_sccl_2/145-2966230-4286357,N/A,N/A,N/A
#53,How To Tell If Your K-9 Is A Demon,Trista Ricketts,4.5,379.0,5.99,https://www.amazon.com/How-Tell-Your-K-9-Demon-ebook/dp/B0GCPQH68P/ref=zg_bs_g_6190484011_d_sccl_3/145-2966230-4286357,N/A,N/A,N/A
#54,Mate,Ali Hazelwood,4.4,29773.0,10.99,https://www.amazon.com/Mate-Ali-Hazelwood-ebook/dp/B0DY3SL9FW/ref=zg_bs_g_6190484011_d_sccl_4/145-2966230-4286357,N/A,N/A,N/A
#55,Eclipsed Heart,Jen L. Grey,4.4,7569.0,5.99,https://www.amazon.com/Eclipsed-Heart-Twisted-Fate-Trilogy-ebook/dp/B0CGK3B64M/ref=zg_bs_g_6190484011_d_sccl_5/145-2966230-4286357,N/A,N/A,N/A
