Rank,Book Title,Author,Rating,Reviews,Price,url,description,publisher,publication_date
#56,Her Irish Dragons,Theodora Taylor,3.6,19.0,5.99,https://www.amazon.com/Her-Irish-Dragons-Shifters-Book-ebook/dp/B0FBSF6G1G/ref=zg_bs_g_6190484011_d_sccl_6/145-2966230-4286357,"""I'm dying for Her Irish Dragons after that Irish Bears cliffhanger!"" ""I will never forgive this author for the cliffhanger at the end of Her Irish Bears."" ""One star! I loved Irish Bears—but that cliffhanger!"" —Author interpretation of several reviews The highly anticipated FINAL book in the Irish Shifters trilogy is finally HERE! Go to Ireland, they said. It can only be you, they said. It'll be fun. Okay, okay, the king and queen of the Scottish Wolves didn't say that fun part. But I’m still trying to figure out why they’re sending me, a broke, recently unemployed, stuck-back-in-her-childhood-bedroom-opposite-of-a-diplomat she-wolf, to broker peace between them and the Irish Wolves. The Irish Bears hosting the summit specifically requested me, and they refuse to explain why they insisted it couldn't be anyone else. Then I get shoved into a lake. A lake that turns out to be a fating portal. A portal that shoots me thousands of years into the past. So, y’know, now I really have to ask… Was I invited to Ireland? Or summoned there by three emerald-colored beasts who will do anything—and I cannot stress the italics on this hard enough, any-truly-epic-thing —to claim me as theirs. Forever. 🔥 Three dragon gods. One innocent named Dorie. A prophecy that will change everything. 🔥 Read more",N/A,N/A
#57,The Ice Tyrant's Fated Mate,Riley Storm,4.5,194.0,3.99,https://www.amazon.com/Tyrants-Fated-Hollow-Earth-Dragons-ebook/dp/B0GKYZRQC5/ref=zg_bs_g_6190484011_d_sccl_7/145-2966230-4286357,N/A,N/A,N/A
#58,The War of Two Queens,Jennifer L. Armentrout,4.4,58280.0,8.99,https://www.amazon.com/War-Two-Queens-Blood-Book-ebook/dp/B0992Y537S/ref=zg_bs_g_6190484011_d_sccl_8/145-2966230-4286357,N/A,N/A,N/A
#59,Fated to the Feral Wolf,April L. Moon,4.4,15323.0,6.99,https://www.amazon.com/Fated-Feral-Wolf-Shifter-Paranormal-ebook/dp/B0CQQFZ28W/ref=zg_bs_g_6190484011_d_sccl_9/145-2966230-4286357,"I never would have seen him coming, not in a million years. Feral. Growling. Terrifying. Until my wolf claimed him as hers. Shay I'm a lot of things; a loyal best friend, music lover, introvert. All labels I'd happily claim as mine. Survivor of abuse, I'll claim because it's true, and I'm a survivor. But fated mate? That one feels like an ill-fitting glove. Especially when said mate has been feral for years, and nobody knows what sent him over the edge, let alone how to get him back. But there's no denying my wolf, and she wants him. So what's a girl to do? Bathe the stinky wolf if he's going to sneak into my bed and then play him Mozart until dawn. Obviously . But a fated mate connection is a once in a lifetime bond. And if he can't turn back into a man . . . will I be alone forever, even with him at my side? Dirge I've been on the run for so many years, I don't remember how to be a man, not really. But Shay calls to that part of me, the part I hid away so long ago. She's everything a man could want. Gorgeous, intelligent, and funny, all wrapped into a stunning, shyly sweet package. There's nothing under the moon I want more than to hold her in my arms. That's the problem, though; if I give into the urge, if I change back and take her as mine . . . I sign her death warrant. The fates have foretold it, and the only way I can save her is to never go back, no matter how badly it hurts. To save her, I have to stay a wolf. ★★★★★ If you love: Feral Wolf Shifters Fated Mates (but not insta-love) Touch Her and 🔪 ✨ Vibes ✨ She Has Powers Supportive Besties Total Acceptance for Her Past This is the book for you! ★★★★★ Each book in this series contains an HEA for the main couple, but with an overarching series plot until the world is complete. Read more",N/A,N/A
#60,Fearless Bond,Roe Horvat,4.2,1082.0,0.99,https://www.amazon.com/Fearless-Bond-Bears-Beauville-Book-ebook/dp/B0DK1T1XPT/ref=zg_bs_g_6190484011_d_sccl_10/145-2966230-4286357,N/A,N/A,N/A
#61,Her Soul to Take,Harley Laroux,4.4,41464.0,4.99,https://www.amazon.com/Her-Soul-Take-Souls-Trilogy-ebook/dp/B08WJHGH2T/ref=zg_bs_g_6190484011_d_sccl_11/145-2966230-4286357,N/A,N/A,N/A
#62,Witches With Benefits,Amanda M. Lee,4.7,1846.0,4.99,https://www.amazon.com/Witches-Benefits-Nightshade-Detective-Mystery-ebook/dp/B0FCDS2SSG/ref=zg_bs_g_6190484011_d_sccl_12/145-2966230-4286357,N/A,N/A,N/A
#63,Blood Oath,Morgan B Lee,4.4,20219.0,3.99,https://www.amazon.com/Blood-Oath-Paranormal-Reverse-Legacies-ebook/dp/B0CRTHWGQS/ref=zg_bs_g_6190484011_d_sccl_13/145-2966230-4286357,N/A,N/A,N/A
#64,Crowned by the Enemy Vampire,Michele Mills,4.4,286.0,3.99,https://www.amazon.com/Crowned-Enemy-Vampire-Michele-Mills-ebook/dp/B0G3Y1RBHF/ref=zg_bs_g_6190484011_d_sccl_14/145-2966230-4286357,N/A,N/A,N/A
#65,Raw: A Rejected Mate Omegaverse,Kayleigh King,4.1,1443.0,4.99,https://www.amazon.com/Raw-Rejected-Omegaverse-Kayleigh-King-ebook/dp/B0GHJM1JR6/ref=zg_bs_g_6190484011_d_sccl_15/145-2966230-4286357,N/A,N/A,N/A
#66,Bride,Ali Hazelwood,4.4,62977.0,9.99,https://www.amazon.com/Bride-Ali-Hazelwood-ebook/dp/B0C9GQV1TT/ref=zg_bs_g_6190484011_d_sccl_16/145-2966230-4286357,N/A,N/A,N/A
#67,Brownies for My Grumpy Bunny,Honey Phillips,4.6,700.0,4.99,https://www.amazon.com/Brownies-My-Grumpy-Bunny-Fairhaven-ebook/dp/B0FZ6T7DQB/ref=zg_bs_g_6190484011_d_sccl_17/145-2966230-4286357,N/A,N/A,N/A
#68,Hidden Within the Secret Heart,Tessa Cole,4.1,267.0,4.99,https://www.amazon.com/Hidden-Within-Secret-Desperate-Disguise-ebook/dp/B0DZJ1TZFB/ref=zg_bs_g_6190484011_d_sccl_18/145-2966230-4286357,N/A,N/A,N/A
#69,A Light in the Flame,Jennifer L. Armentrout,4.7,34088.0,8.99,https://www.amazon.com/Light-Flame-Flesh-Fire-Novel-ebook/dp/B09YMS96FN/ref=zg_bs_g_6190484011_d_sccl_19/145-2966230-4286357,N/A,N/A,N/A
#70,Fated to the Scarred Wolf,April L. Moon,4.5,4384.0,6.99,https://www.amazon.com/Fated-Scarred-Wolf-Shifter-Paranormal-ebook/dp/B0F4L1KV2F/ref=zg_bs_g_6190484011_d_sccl_20/145-2966230-4286357,N/A,N/A,N/A
#71,Chosen Destiny,Jen L. Grey,4.4,6265.0,5.99,https://www.amazon.com/Chosen-Destiny-Twisted-Fate-Trilogy-ebook/dp/B0CJ7GFBHG/ref=zg_bs_g_6190484011_d_sccl_21/145-2966230-4286357,N/A,N/A,N/A
#72,Born of Blood and Ash,Jennifer L. Armentrout,4.4,15374.0,8.99,https://www.amazon.com/Born-Blood-Ash-Flesh-Novel-ebook/dp/B0CFM9PSV7/ref=zg_bs_g_6190484011_d_sccl_22/145-2966230-4286357,N/A,N/A,N/A
#73,Mated to the Alpha Squad,Ella Hartwell,4.0,740.0,2.99,https://www.amazon.com/Mated-Alpha-Squad-Reverse-Shifter-ebook/dp/B0G5GVJMQG/ref=zg_bs_g_6190484011_d_sccl_23/145-2966230-4286357,N/A,N/A,N/A
#74,Savage Fae,Caroline Peckham,4.4,34947.0,6.99,https://www.amazon.com/Savage-Ruthless-Boys-Zodiac-Book-ebook/dp/B07ZFJLSX3/ref=zg_bs_g_6190484011_d_sccl_24/145-2966230-4286357,N/A,N/A,N/A
#75,Mate abandoned by Alpha,Gertty Rudraw,4.0,1736.0,2.99,https://www.amazon.com/Mate-abandoned-Alpha-Pregnancy-Paranormal-ebook/dp/B0G5Y2C98H/ref=zg_bs_g_6190484011_d_sccl_25/145-2966230-4286357,N/A,N/A,N/A
#76,A Claim of Fortune,Jaymin Eve,4.4,7253.0,5.99,https://www.amazon.com/Claim-Fortune-Shifter-Fated-Mates-ebook/dp/B0DVHT61DB/ref=zg_bs_g_6190484011_d_sccl_26/145-2966230-4286357,N/A,N/A,N/A
#77,Mage Storm,Lyra Mishon,4.4,988.0,4.99,https://www.amazon.com/Mage-Storm-paranormal-academy-Starfall-ebook/dp/B0G21K7DWC/ref=zg_bs_g_6190484011_d_sccl_27/145-2966230-4286357,N/A,N/A,N/A
#78,A Curse of Fate,Jaymin Eve,4.5,14868.0,4.99,https://www.amazon.com/Curse-Fate-Shifter-Fated-Mates-ebook/dp/B0DJPY9X38/ref=zg_bs_g_6190484011_d_sccl_28/145-2966230-4286357,N/A,N/A,N/A
#79,Grimm Curiosities,Sharon Lynn Fisher,4.5,4459.0,2.49,https://www.amazon.com/Grimm-Curiosities-Sharon-Lynn-Fisher-ebook/dp/B0CT9SVLNR/ref=zg_bs_g_6190484011_d_sccl_29/145-2966230-4286357,N/A,N/A,N/A
#80,Court of Lust,Lacey Carter Andersen,4.5,1498.0,3.99,https://www.amazon.com/Court-Lust-Fantasy-Reverse-Romance-ebook/dp/B0FTGP7P5K/ref=zg_bs_g_6190484011_d_sccl_30/145-2966230-4286357,N/A,N/A,N/A
#81,A Soul of Ash and Blood,Jennifer L. Armentrout,4.2,31028.0,8.99,https://www.amazon.com/Soul-Ash-Blood-Novel-Book-ebook/dp/B0BNCF5W6M/ref=zg_bs_g_6190484011_d_sccl_81/142-3510744-9003908?psc=1,N/A,N/A,N/A
#82,Taken by Touch and Torment,Maggie Sunseri,4.3,7015.0,4.99,https://www.amazon.com/Taken-Touch-Torment-Eternal-Obsession-ebook/dp/B0CR1QJ8D7/ref=zg_bs_g_6190484011_d_sccl_82/142-3510744-9003908?psc=1,N/A,N/A,N/A
#83,Vicious Fae,Caroline Peckham,4.4,33399.0,6.99,https://www.amazon.com/Vicious-Ruthless-Boys-Zodiac-Book-ebook/dp/B082GFQ36N/ref=zg_bs_g_6190484011_d_sccl_83/142-3510744-9003908?psc=1,N/A,N/A,N/A
#84,The Witch's Wolf: Fated Destines,Heather K. Carson,4.4,7264.0,4.99,https://www.amazon.com/Witchs-Wolf-Fated-Destines-Destinies-ebook/dp/B0BVL1TV5V/ref=zg_bs_g_6190484011_d_sccl_84/142-3510744-9003908?psc=1,N/A,N/A,N/A
#85,Fated to the Warrior Wolf,April L. Moon,4.5,11285.0,6.99,https://www.amazon.com/Fated-Warrior-Wolf-Shifter-Paranormal-ebook/dp/B0D4MCZVH4/ref=zg_bs_g_6190484011_d_sccl_85/142-3510744-9003908?psc=1,N/A,N/A,N/A
#86,The Warlord Wants Forever,Kresley Cole,4.3,6014.0,5.99,https://www.amazon.com/Warlord-Wants-Forever-Immortals-After-ebook/dp/B06ZZWDBDV/ref=zg_bs_g_6190484011_d_sccl_86/142-3510744-9003908?psc=1,"Discover a dark and wicked new world in Kresley Cole’s remastered tale “The Warlord Wants Forever,” the first scorching installment in her #1 New York Times bestselling Immortals After Dark series... The Warlord Nikolai Wroth, a ruthless Vampire general, will stop at nothing to find his Bride, the one woman who can “blood” him, making his heart beat and filling him with strength. Coldly interested only in the power his Bride will bring, he can hardly believe when Myst the Coveted awakens him body—and soul. The Seductress Famed throughout the world as the most beautiful Valkyrie, Myst has devoted her life to protecting a magical jewel and to fighting the vampires. Wroth provides her with the perfect opportunity to torment her sworn enemy—for with his new heartbeat comes a consuming sexual desire that can only be slaked by her. Denying him, she flees, struggling to forget his searing, possessive kiss. The Hunt is on… She eludes him for five years, but he has finally chased her to ground and stolen her enchanted jewel, giving him absolute power over her. Now that she’s his for the taking, he intends to make her experience first-hand the agonizing, unending lust she subjected him to for half a decade. Yet when Nikolai realizes he wants far more than vengeance from Myst and frees her, will she come back to him? Read more",N/A,N/A
#87,A Fire in the Flesh,Jennifer L. Armentrout,4.4,26217.0,8.99,https://www.amazon.com/Fire-Flesh-Novel-ebook/dp/B0BQ77BJFR/ref=zg_bs_g_6190484011_d_sccl_87/142-3510744-9003908?psc=1,N/A,N/A,N/A
#88,Rejected by My Alpha Stepbrother,Jasmine Fox,4.2,401.0,2.99,https://www.amazon.com/Rejected-Alpha-Stepbrother-Forbidden-Billionaire-ebook/dp/B0GH7L9QD6/ref=zg_bs_g_6190484011_d_sccl_88/142-3510744-9003908?psc=1,"I was brought into a mansion by my adoptive father, only to discover that my stepbrother was my fated mate. Worse still? He sees me as the daughter of the woman who ruined his family, while I'm carrying his secret child. Dimitri Ravencrest was everything I shouldn’t want. Arrogant. Aloof. Alpha’s heir. Five years ago, he kissed me and swore to protect me. Next morning? He rejected me after his so-called fiancée humiliated me. So I ran. I swore I’d never fall for him again. Now I’m the VP of a major tech company. At a business dinner, I ran into the last person I ever wanted to see. And Dimitri? He’s been quietly investigating my every move. I thought rejecting him would finally rid me of the past. Until he barges into my office, slams me against my desk—and our bond sparks to life all over again. Just as he’s about to kiss me, a tiny voice calls out: “Mommy?” Read more",N/A,N/A
#89,Under the Surface,N.R. Walker,4.5,321.0,5.99,https://www.amazon.com/Under-Surface-N-R-Walker-ebook/dp/B0GNPQ28ND/ref=zg_bs_g_6190484011_d_sccl_89/142-3510744-9003908?psc=1,N/A,N/A,N/A
#90,Warrior Fae,Caroline Peckham,4.5,32344.0,8.99,https://www.amazon.com/Warrior-Ruthless-Boys-Zodiac-Book-ebook/dp/B08FYT5SG4/ref=zg_bs_g_6190484011_d_sccl_90/142-3510744-9003908?psc=1,N/A,N/A,N/A
#91,Fated to the Wolf Billionaire,April L. Moon,4.5,7693.0,6.99,https://www.amazon.com/Fated-Wolf-Billionaire-Shifter-Paranormal-ebook/dp/B0DKTH175X/ref=zg_bs_g_6190484011_d_sccl_91/142-3510744-9003908?psc=1,N/A,N/A,N/A
#92,Emotional Support Alpha,Riley Harp,4.3,579.0,2.99,https://www.amazon.com/Emotional-Support-Alpha-Werewolf-Shifter-ebook/dp/B0G6TYLFKR/ref=zg_bs_g_6190484011_d_sccl_92/142-3510744-9003908?psc=1,N/A,N/A,N/A
#93,Eclipsed Empire,Tessa Hale,4.3,9350.0,4.99,https://www.amazon.com/Eclipsed-Empire-Wolves-Crescent-Creek-ebook/dp/B0DZ7TKFVY/ref=zg_bs_g_6190484011_d_sccl_93/142-3510744-9003908?psc=1,"One secret tore my life apart. It sent me running from the place I thought I would be safe, right into the path of untold enemies. But when my life is in danger, the wolves I thought I’d lost for good are the ones who come for me. And they’ll burn down the world to keep me safe—even if none of us trusts each other anymore. With every moment we’re forced together, every whispered apology and stolen touch, my resolve to keep them at a distance weakens. And when I realize just how much each of these men has come to mean to me, that resolve crumbles to dust. Only there are more secrets to uncover—all our pasts lurking in the shadows. And when the monsters emerge from the darkness, there’s no escaping them this time… **Book Two in the Wolves of Crescent Creek Series. If you haven't met the wolves yet, their story begins in Crescent Kingdom.** Read more",N/A,N/A
#94,Fated to My Fiancé's Brother,Jennifer Eve,4.2,484.0,2.99,https://www.amazon.com/Fated-My-Fianc%C3%A9s-Brother-Forbidden-ebook/dp/B0G6LYNWG8/ref=zg_bs_g_6190484011_d_sccl_94/142-3510744-9003908?psc=1,N/A,N/A,N/A
#95,Broken Fae,Caroline Peckham,4.5,31729.0,7.99,https://www.amazon.com/Broken-Ruthless-Boys-Zodiac-Book-ebook/dp/B084TV5X6R/ref=zg_bs_g_6190484011_d_sccl_95/142-3510744-9003908?psc=1,N/A,N/A,N/A
#96,Reclaimed,Roxie Ray,4.4,5996.0,8.99,https://www.amazon.com/Reclaimed-Roxie-Ray-ebook/dp/B0FFJKD94H/ref=zg_bs_g_6190484011_d_sccl_96/142-3510744-9003908?psc=1,N/A,N/A,N/A
#97,Secret Shifters Next Door,Roxie Ray,4.7,5421.0,9.99,https://www.amazon.com/Secret-Shifters-Next-Door-Complete-ebook/dp/B0DGTGR1VQ/ref=zg_bs_g_6190484011_d_sccl_97/142-3510744-9003908?psc=1,N/A,N/A,N/A
#98,The Tyrant Alpha's Rejected Mate,Cate C. Wells,4.0,17034.0,4.99,https://www.amazon.com/Fate-Dark-Delicate-Compelling-Fates-ebook/dp/B0GFPR3RNM/ref=zg_bs_g_6190484011_d_sccl_98/142-3510744-9003908?psc=1,"The king is dead, but Havlands is still in turmoil, plagued by distrust amongst the conquered rebels, shifters, Fae, and humans. With the impending threat of the invading Oakgards’ Fae, Elessia and her friends find themselves in a race to unite their fractured realm. But as Elessia grapples with the deadly implications of her newfound powers, she and Merrick discover a devastating truth: the price of her new gifts may force them to leave Havlands and their friends behind to face the looming war alone. As Elessia and Merrick journey to Vastala in desperate search of answers, their friends must survive the brutal politics of a collapsing realm on their own. Bonds are tested, loyalties shift, and the lines between ally and enemy blur. And with fate at the door, they each must decide whether answering the call of destiny is worth facing the shadows that haunt them—all before it’s too late. Read more",N/A,N/A
#99,Celestial Academy: The Complete Series,Maya Nicole,4.2,1998.0,9.99,https://www.amazon.com/Tyrant-Alphas-Rejected-Mate-Packs-ebook/dp/B09GPTD93W/ref=zg_bs_g_6190484011_d_sccl_99/142-3510744-9003908?psc=1,N/A,N/A,N/A
#100,The Bear's Chosen Mate,Harmony Raines,4.4,61.0,3.99,https://www.amazon.com/Celestial-Academy-Complete-Maya-Nicole-ebook/dp/B08BYWKN5N/ref=zg_bs_g_6190484011_d_sccl_100/142-3510744-9003908?psc=1,N/A,N/A,N/A
